approved-meat-establishment	company	meat-establishment-type	meat-establishment-operation	meat-establishment-outcome	local-authority	meat-establishment-audit-date	meat-establishment-audit-frequency	meat-establishment-next-audit-due-date	start-date	end-date
2168	G & A Denney	3	14	1	Cumbria	2017-02-07	12	2018-02-01		
2168	G & A Denney	1	14	1	Cumbria	2017-02-07	12	2018-02-01		
2171	A Traves & Son Ltd	3	14	1	North Yorkshire	2016-09-08	12	2017-09-01		
2171	A Traves & Son Ltd	1	14	1	North Yorkshire	2016-09-08	12	2017-09-01		
2172	Foyle Gloucester	3	14	2	Gloucestershire	2016-04-12	36	2019-04-01		
2172	Foyle Gloucester	1	14	2	Gloucestershire	2016-04-12	36	2019-04-01		
2174	Rapyal Meat & Poultry Ltd	1	14	1	West Midlands	2017-03-20	12	2018-03-01		
2175	Richard Of Howden Ltd	3	14	1	East Yorkshire	2016-11-14	12	2017-11-01		
2175	Richard Of Howden Ltd	1	14	1	East Yorkshire	2016-11-14	12	2017-11-01		
2176	Crawshaw Butchers Limited	1	14	2	South Yorkshire	2016-08-24	24	2018-08-01		
2178	T H Motson & Sons Ltd	1	14	2	South Yorkshire	2016-06-20	24	2018-06-01		
2179	H Gowers	1	14	1	South Yorkshire	2016-12-14	12	2017-12-01		
2181	West Lancs Butchers Ltd	1	14	2	Ormskirk	2016-10-13	24	2018-10-01		
2184	Yorkshire Premier Meat	1	14	2	West Yorkshire	2016-07-18	24	2018-07-01		
2186	Moo Moo	1	14	1	Cheshire	2017-03-30	12	2018-03-01		
2189	The Quality Meat Company	1	14	1	Surrey	2016-09-13	12	2017-09-01		
2190	London Poultry	1	14	1	Greater London	2016-12-01	12	2017-12-01		
2194	Ritter Fresh	1	14	1	Avon	2017-07-18	12	2018-07-01		
2201	A R Halal Meats Ltd	1	14	1	West Yorkshire	2016-09-20	12	2017-09-01		
2207	Faraday Fine Foods Limited	1	14	2	Northamptonshire	2016-06-27	24	2018-06-01		
2227	Underwood Meat Company Limited	1	14	2	Surrey	2016-01-27	24	2018-01-01		
2230	Underwood Meat Company Limited	1	14	2	Kent	2017-05-17	24	2019-05-01		
2235	Rainbow Meat Ltd	1	14	2	London	2016-10-31	12	2017-10-01		
2241	Woolley Bros. (Wholesale Meat) Ltd	3	14	1	South Yorkshire	2017-02-28	12	2018-02-01		
2241	Woolley Bros. (Wholesale Meat) Ltd	1	14	1	South Yorkshire	2017-02-28	12	2018-02-01		
2246	William White Meats Limited	1	14	1	Essex	2016-11-07	12	2017-11-01		
2252	R & S Wholesale Butchers Ltd	1	14	2	East Yorkshire	2016-07-21	24	2018-07-01		
2253	Zabihah Halal Group	1	14	1		2017-08-16	12	2018-08-01		
2254	Gamston  Wood Ostriches	3	14	2	Nottinghamshire	2016-11-29	36	2019-11-01		
2254	Gamston  Wood Ostriches	1	14	2	Nottinghamshire	2016-11-29	36	2019-11-01		
2256	Hv Graves	3	14	1	Norfolk	2017-05-11	12	2018-05-01		
2256	Hv Graves	1	14	1	Norfolk	2017-05-11	12	2018-05-01		
2257	Weddel Swift Distribution Limited	1	14	2	East Riding of North Yorkshire	2017-02-21	12	2018-02-01		
2261	J. W. Young (Butchers) Limited	1	14	2	South Yorkshire	2016-06-30	24	2018-06-01		
2263	Handcross Butchers Ltd	1	14	2	West Sussex	2016-09-06	24	2018-09-01		
2264	Jackson Meats Limited	1	14	2	Suffolk	2016-03-02	24	2018-03-01		
2265	Tulip Cooked Meats (Boston)	1	14	2	Lincolnshire	2016-06-03	24	2018-06-01		
2266	L & S Jones And Sons	1	14	2	Lancashire	2017-06-23	24	2019-06-01		
2268	Coopers Of Andover	1	14	1	Hampshire	2017-05-17	12	2018-05-01		
2270	Select Poultry & Meat Ltd	1	14	1	Essex	2017-03-28	12	2018-03-01		
2271	H Greaves & Son (Meat Products) Ltd	1	14	2	Lancashire	2016-04-13	24	2018-04-01		
2274	Alpine Fine Foods Limited	1	14	1	East Yorkshire	2017-05-03	12	2018-05-01		
2275	Terry Lindsay & Co Wholesale Meats	1	14	1	West Midlands	2017-02-20	12	2018-02-01		
2277	D W Gillette Catering Butchers	1	14	1	Wiltshire	2017-05-17	12	2018-05-01		
2282	M & T Butchers Preston Ltd	1	14	1	Lancashire	2017-03-07	12	2018-03-01		
2284	Walter Rose & Son	1	14	1	Wiltshire	2017-04-20	12	2018-04-01		
2285	John Penny And Sons	3	14	1	West Yorkshire	2017-08-30	12	2018-08-01		
2285	John Penny And Sons	1	14	1	West Yorkshire	2017-08-30	12	2018-08-01		
2286	Gleadhall & Thorpe	1	14	2	South Yorkshire	2017-07-17	24	2019-07-01		
2288	C Wasteney And Sons	3	14	2	South Yorkshire	2016-06-29	18	2017-12-01		
2288	C Wasteney And Sons	1	14	2	South Yorkshire	2016-06-29	18	2017-12-01		
2291	L Wood & Sons	3	14	1	West Yorkshire	2017-05-12	12	2018-05-01		
2291	L Wood & Sons	1	14	1	West Yorkshire	2017-05-12	12	2018-05-01		
2296	The Eden Valley Meat Company Ltd	3	14	2	Cumbria	2016-11-22	18	2018-05-01		
2296	The Eden Valley Meat Company Ltd	1	14	2	Cumbria	2016-11-22	18	2018-05-01		
2298	South Downs Venison And Game Ltd	3	14	1	West Sussex	2017-09-14	12	2018-09-01		
2298	South Downs Venison And Game Ltd	1	14	1	West Sussex	2017-09-14	12	2018-09-01		
2302	Hadfield Catering Butchers Limited	1	14	2	South Yorkshire	2016-08-03	24	2018-08-01		
2303	J E Hawkes	1	14	2	West Yorkshire	2016-07-25	24	2018-07-01		
2307	Taylors Catering Foods Ltd	1	14	1	Worcestershire	2017-01-19	12	2018-01-01		
2312	Weddel Swift Distribution Ltd	1	14	1	West Yorkshire	2016-11-16	12	2017-11-01		
2315	Harris & Son Wholesale Meats Ltd	1	14	2	Kent	2016-11-09	24	2018-11-01		
2336	Cam Catering Butchers Limited	1	14	2	Gloucestershire	2016-07-19	24	2018-07-01		
2343	J & E Medcalf Limited	3	14	1	West Yorkshire	2016-10-17	12	2017-10-01		
2343	J & E Medcalf Limited	1	14	1	West Yorkshire	2016-10-17	12	2017-10-01		
2351	Kurpas Meats Ltd	1	14	1	Greater Manchester	2017-01-30	12	2018-01-01		
2358	Milford Farm Limited	1	14	1	West Yorkshire	2016-12-08	12	2017-12-01		
2364	Holmesterne Foods	1	14	2	North Yorkshire	2016-11-22	12	2017-11-01		
2368	J S Quality Meats Limited	1	14	2	Staffordshire	2016-01-11	24	2018-01-01		
2370	R Manners & Sons Ltd	1	14	2	Tyne and Wear	2017-01-25	12	2018-01-01		
2371	Cranswick Riverside	1	14	2	East Yorkshire	2016-04-27	24	2018-04-01		
2382	Walkers Midshire Foods (Ham)	1	14	2	Leicestershire	2016-04-26	24	2018-04-01		
2397	Rowland Agar (Slaughtering Contractors) Limited	3	14	1	West Yorkshire	2017-07-28	12	2018-07-01		
2397	Rowland Agar (Slaughtering Contractors) Limited	1	14	1	West Yorkshire	2017-07-28	12	2018-07-01		
2400	Cranstons Quality Butchers Ltd	1	14	2	Cumbria	2016-07-15	24	2018-07-01		
2401	J & D Papworth Ltd	1	14	2	Norfolk	2016-06-01	24	2018-06-01		
2410	Ravendale Foods Limited	1	14	1	County Durham	2016-11-08	12	2017-11-01		
2413	M & C Meats	3	14	1	West Yorkshire	2016-12-01	12	2017-12-01		
2413	M & C Meats	1	14	1	West Yorkshire	2016-12-01	12	2017-12-01		
2414	Towers Thompson Mexborough	1	14	2	South Yorkshire	2016-09-29	24	2018-09-01		
2415	Clarke Meats Limited	1	14	2	West Yorkshire	2016-03-17	24	2018-03-01		
2425	J Mallinson Ltd	1	14	1	West Yorkshire	2017-02-14	12	2018-02-01		
2427	Holden Meats Ltd	1	14	2	South Yorkshire	2016-02-18	24	2018-02-01		
2428	R & M Meats Limited	1	14	1	West Yorkshire	2016-11-07	12	2017-11-01		
2438	Mcintyre  Meats Limited	3	14	2	North Yorkshire	2016-03-31	18	2017-09-01		
2438	Mcintyre  Meats Limited	1	14	2	North Yorkshire	2016-03-31	18	2017-09-01		
2443	H D V Foods Limited	1	14	2	County Durham	2016-07-12	24	2018-07-01		
2446	Fresh Fields Foods Ltd	1	14	2	West Yorkshire	2016-05-12	24	2018-05-01		
2448	Chris Adamson Wholesale Butchers	1	14	2	West Yorkshire	2016-01-18	24	2018-01-01		
2452	Country Valley Foods Ltd	1	14	2	Teesside	2017-08-01	24	2019-08-01		
2453	Ccm Quality Foods	1	14	1	North Yorkshire	2017-02-16	12	2018-02-01		
2457	Yorkshire Dales Meat Company Ltd	1	14	2	North Yorkshire	2017-08-15	12	2018-08-01		
2458	Abp Doncaster	1	14	2	South Yorkshire	2016-04-21	24	2018-04-01		
2459	Holme Farmed Venison	1	14	2	North Yorkshire	2016-02-01	24	2018-02-01		
2462	Turner & Price Limited	1	14	2		2016-10-06	12	2017-10-01		
2464	Underwood Meat Company Ltd	1	14	2	South Yorkshire	2016-04-18	24	2018-04-01		
2465	Andrew E Seed	1	14	2	North Yorkshire	2016-12-28	24	2018-12-01		
2466	Holdsworth	1	14	2	West Yorkshire	2017-05-09	12	2018-05-01		
2468	Doric Game Ltd	1	14	2	West Yorkshire	2017-01-30	12	2018-01-01		
2469	Ralph Pearson	1	14	2	West Yorkshire	2016-03-10	24	2018-03-01		
2471	R & J Yorkshire's Finest	1	14	2	North Yorkshire	2017-03-21	24	2019-03-01		
2473	Pakeezah Meat Supplies Ltd	1	14	2	West Yorkshire	2017-01-20	12	2018-01-01		
2474	Pfd (Carlisle) Ltd	1	14	2	Tyne and Wear	2017-04-04	12	2018-04-01		
2475	Freeman Catering Butchers	1	14	1	Tyne and Wear	2016-10-19	12	2017-10-01		
2477	Langthorne's Buffalo Produce	3	14	2	North Yorkshire	2017-04-19	18	2018-10-01		
2477	Langthorne's Buffalo Produce	1	14	2	North Yorkshire	2017-04-19	18	2018-10-01		
2478	Gillams Butchers	1	14	2	West Yorkshire	2016-10-26	24	2018-10-01		
2481	Russell Hume Limited	1	14	2	North Yorkshire	2016-09-06	12	2017-09-01		
2483	R P J Meat Wholesale Ltd	1	14	2	West Yorkshire	2016-12-12	24	2018-12-01		
2484	Warren Butterworth Catering Butchers Ltd	1	14	2	Tyne and Wear	2016-03-22	24	2018-03-01		
2486	S L G Wholesale Meats Ltd	1	14	2	West Yorkshire	2017-03-03	12	2018-03-01		
2487	Best Meat (Uk) Ltd	1	14	2	South Yorkshire	2017-05-16	12	2018-05-01		
2488	J.W. Young (Butchers) Ltd	1	14	2	South Yorkshire	2016-05-25	24	2018-05-01		
2489	Sykes House Farm Ltd	1	14	2	West Yorkshire	2017-01-26	24	2019-01-01		
2490	B S Meats	1	14	2	Lancashire	2016-05-23	24	2018-05-01		
2491	Country Harvest  Farm Foods	1	14	2	County Durham	2016-09-08	12	2017-09-01		
2494	Thompsons Food Service Ltd	1	14	2	Norfolk	2017-06-22	24	2019-06-01		
2495	Imperial Fast Food Distribution Ltd	1	14	2	Greater London	2016-09-29	24	2018-09-01		
2496	Kht (Uk) Ltd	1	14	2	Greater London	2016-02-29	24	2018-02-01		
2498	S R Cooper Meats Ltd	1	14	1	Essex	2017-01-16	12	2018-01-01		
2500	Jlp Meats	1	14	1	Greater london	2017-04-24	12	2018-04-01		
2507	Sidor Meat Limited	1	14	1	Worcestershire	2017-06-23	12	2018-06-01		
2513	Hackney Meat Traders Ltd	1	14	2	Greater London	2016-03-16	24	2018-03-01		
2514	Korea Foods Company Limited Birmingham Warehouse	1	14	2	West Midlands	2017-07-10	12	2018-07-01		
2517	Majestic Meat Ltd	1	14	1	West Yorkshire	2016-12-15	12	2017-12-01		
2518	Packington Free Range	1	14	2	Staffordshire	2016-02-04	24	2018-02-01		
2519	Deniz Catering Fast Food Limited	1	14	2	Greater London	2016-11-18	24	2018-11-01		
2521	Edmonton Meat Centre Ltd	1	14	2	Greater London	2016-10-04	24	2018-10-01		
2525	John Coysten Meats	1	14	2	Essex	2017-07-24	24	2019-07-01		
2527	Palfrey And Hall	1	14	2	Suffolk	2016-01-29	24	2018-01-01		
2528	Premier Meat And Poultry Limited	1	14	2	Derbyshire	2016-06-23	24	2018-06-01		
2532	Sandridge Farmhouse Bacon Limited	1	14	2	Wiltshire	2017-04-21	12	2018-04-01		
2536	Pickstock Telford Limited	3	14	1	Shropshire	2016-10-25	12	2017-10-01		
2536	Pickstock Telford Limited	1	14	1	Shropshire	2016-10-25	12	2017-10-01		
2538	Hbh Foods	1	14	2	Greater London	2016-07-28	24	2018-07-01		
2539	A B Butchers Limited	1	14	2	Greater London	2016-10-18	24	2018-10-01		
2540	Northern Halal Meat And Poultry Limited	1	14	1	West Yorkshire	2017-07-12	12	2018-07-01		
2541	Burts Catering Butchers Limited	1	14	2	East Sussex	2016-05-17	24	2018-05-01		
2544	Swaledale Foods Ltd	1	14	2	North Yorkshire	2016-10-25	24	2018-10-01		
2546	Elite Poultry Ltd	1	14	1	Bristol	2017-01-31	12	2018-01-01		
2547	Ben Creese Country Butchers Ltd	1	14	1	Gloucestershire	2017-01-27	12	2018-01-01		
2552	Asia Halal Meat Supplier Ltd	1	14	2	West Midlands	2016-12-12	12	2017-12-01		
2554	E & P Catering Butchers Limited	1	14	1	West Midlands	2016-09-22	12	2017-09-01		
2556	Tulip Limited (Wednesbury) - Sv Cuisine	1	14	2	West Midlands	2016-09-22	24	2018-09-01		
2557	Wiltshire Bacon Company	1	14	2	Wiltshire	2017-07-26	12	2018-07-01		
2558	John Crawshaw Butchers	1	14	2	South Yorkshire	2016-08-11	12	2017-08-01		
2559	The Fine Food Company Uk Limited	1	14	2	Somerset	2016-11-29	12	2017-11-01		
2562	Al-Badia	1	14	2	Greater London	2017-02-15	24	2019-02-01		
2564	Huntsham Court Farm	1	14	1	Herefordshire	2016-12-14	12	2017-12-01		
2566	Bearfields Limited	1	14	2	Greater London	2016-01-27	24	2018-01-01		
2567	Ghanim International Uk Limited	1	14	1	West Midlands	2016-10-14	12	2017-10-01		
2571	Shahzad Halal Butchers	1	14	2	Greater London	2016-02-10	24	2018-02-01		
2578	Danish Crown	1	14	2	Greater Manchester	2016-04-06	24	2018-04-01		
2580	J Mato & Son Limited	1	14	2	Dorset	2016-04-28	24	2018-04-01		
2581	Metro Chicken & Meat Limited	1	14	2	Greater London	2017-04-18	12	2018-04-01		
2583	Cootehill Poultry	1	14	2	Derbyshire	2016-06-02	24	2018-06-01		
2584	Steakout Meat Co	1	14	2	Greater London	2016-08-03	24	2018-08-01		
2586	Great Central Meats Limited	1	14	2	Leicestershire	2016-06-29	24	2018-06-01		
2588	Carna Meats (London) Ltd	1	14	1	Greater London	2017-06-06	12	2018-06-01		
2589	Lakes And Dales Limited	1	14	2	Lancashire	2016-05-12	24	2018-05-01		
2594	Mckuhens Of Liverpool	1	14	3	Merseyside	2017-07-26	3	2017-10-01		
2595	Lincolnshire Game Ltd	3	14	2		2016-09-15	18	2018-03-01		
2595	Lincolnshire Game Ltd	1	14	2		2016-09-15	18	2018-03-01		
2596	Mullaco Cash And Carry	1	14	2	West Yorkshire	2017-08-09	24	2019-08-01		
2597	The Woodhouse Butchery Ltd	1	14	2	West Sussex	2016-09-19	24	2018-09-01		
2598	Style Farm Butchers Limited	1	14	3	Wiltshire	2017-08-09	3	2017-11-01		
2600	Downland Produce	1	14	2	Wiltshire	2016-09-13	24	2018-09-01		
2605	Taste Tradition Limited	1	14	3	North Yorkshire	2017-08-29	3	2017-11-01		
2606	Ruby & White Butchers	1	14	1		2016-10-26	12	2017-10-01		
2607	Stadium Leisure	1	14	1		2017-08-08	12	2018-08-01		
2610	Rumps Of Warwick	1	14	1	Warwickshire	2017-02-23	12	2018-02-01		
2611	Prime Quality Foods London Ltd	1	14	2	Greater London	2017-02-28	24	2019-02-01		
2612	H&H Caterers Limited	1	14	4	Wiltshire	2017-08-07	2	2017-10-01		
2614	Danish Crown Uk Limited	1	14	1	Cornwall	2017-01-16	12	2018-01-01		
2615	Le Marche Des Chefs	1	14	2	Greater London	2017-01-31	24	2019-01-01		
2616	Jolly Foods (Oxon) Limited	1	14	2	Oxfordshire	2017-01-30	12	2018-01-01		
2617	Ay Meats Ltd	1	14	2	Greater London	2017-01-24	24	2019-01-01		
2619	Subhan Halal Meat	1	14	1		2017-03-22	12	2018-03-01		
2621	Wellcroft Farm Meats	3	14	2	Staffordshire	2016-04-01	18	2017-10-01		
2621	Wellcroft Farm Meats	1	14	2	Staffordshire	2016-04-01	18	2017-10-01		
2622	Buxton Butchers Ltd	1	14	1	Somerset	2017-02-23	12	2018-02-01		
2624	Dean Food Limited	1	14	2		2017-06-22	24	2019-06-01		
2628	Millers Catering Butchers	1	14	1		2016-11-03	12	2017-11-01		
2630	Charing Meats Limited	3	14	3		2017-06-29	3	2017-09-01		
2630	Charing Meats Limited	1	14	3		2017-06-29	3	2017-09-01		
2634	Brosters Farm Shop	1	14	2		2016-11-21	12	2017-11-01		
2636	Rehman & Sons Meat Wholesale Ltd	1	14	2		2016-10-04	12	2017-10-01		
2638	Derya Meat Ltd	1	14	2		2016-11-03	12	2017-11-01		
2639	H&M Best Meat Ltd	1	14	2		2017-08-24	12	2018-08-01		
2641	Pepperell's Meats Ltd	1	14	1		2016-10-20	12	2017-10-01		
2642	The Ginger Pig	1	14	2	North Yorkshire	2016-10-11	12	2017-10-01		
2644	Bluefields Grp Ltd	1	14	2		2016-10-12	12	2017-10-01		
2645	Todenham Manor Farm	1	14	1		2016-12-09	12	2017-12-01		
2646	Goodwood Estate Company Limited (The)	1	14	1		2016-12-12	12	2017-12-01		
2647	Mbs Finest Halal Catering Butchers Limited	1	14	2		2017-07-25	12	2018-07-01		
2648	Al Halal Quality Meats	1	14	1		2017-05-24	12	2018-05-01		
2649	Musa Brothers Ltd	1	14	1		2017-02-21	12	2018-02-01		
2651	Dost Meat Ltd	1	14	1		2017-03-29	12	2018-03-01		
2655	Grassroots Wholesale Foods Ltd	1	14	1	Lancashire	2017-01-25	12	2018-01-01		
2656	The Catering Butcher	1	14	2		2017-03-16	12	2018-03-01		
2657	Shazan Foods Limited	1	14	3		2017-07-13	3	2017-10-01		
2660	Dale Valley (Rossendale) Limited	3	14	1		2017-07-14	12	2018-07-01		
2660	Dale Valley (Rossendale) Limited	1	14	1		2017-07-14	12	2018-07-01		
2661	Wild Hart Venison Ltd	3	14	1	Devon	2017-06-15	12	2018-06-01		
2661	Wild Hart Venison Ltd	1	14	1	Devon	2017-06-15	12	2018-06-01		
2666	Yeni Pinar Meat Centre Limited	1	14	2		2017-07-05	12	2018-07-01		
2669	Philip Warren & Son	1	14	1		2017-08-01	12	2018-08-01		
3001	Thatcham Butchers Ltd	1	14	2	Berkshire	2017-08-16	24	2019-08-01		
4051	Central Food Services	1	14	2	West Midlands	2017-07-13	24	2019-07-01		
4053	Midland Bacon Company	1	14	1	West Midlands	2017-06-21	12	2018-06-01		
4067	Cumberland Meat Packers Ltd	1	14	2	West Midlands	2017-04-26	12	2018-04-01		
4071	Dunbia Preston	3	14	1	Lancashire	2017-07-27	12	2018-07-01		
4071	Dunbia Preston	1	14	1	Lancashire	2017-07-27	12	2018-07-01		
4073	Abp Ellesmere	3	14	2	Shropshire	2017-02-28	36	2020-02-01		
4073	Abp Ellesmere	1	14	2	Shropshire	2017-02-28	36	2020-02-01		
4083	Cook's Of Rainford	3	14	2	Merseyside	2016-05-16	18	2017-11-01		
4083	Cook's Of Rainford	1	14	2	Merseyside	2016-05-16	18	2017-11-01		
4085	Tulip Fresh Meats (Ashton)	3	14	1	Cheshire	2016-10-26	12	2017-10-01		
4085	Tulip Fresh Meats (Ashton)	1	14	1	Cheshire	2016-10-26	12	2017-10-01		
4090	F A Gill Ltd	3	14	1	West Midlands	2017-07-25	12	2018-07-01		
4090	F A Gill Ltd	1	14	1	West Midlands	2017-07-25	12	2018-07-01		
4102	A H Griffiths	3	14	1	Shropshire	2017-08-15	12	2018-08-01		
4102	A H Griffiths	1	14	1	Shropshire	2017-08-15	12	2018-08-01		
4108	F. Houghton & Family (Wholesale Butchers) Ltd	1	14	1	Cheshire	2017-07-25	12	2018-07-01		
4109	Abp Shrewsbury	3	14	2	Shropshire	2016-04-21	18	2017-10-01		
4109	Abp Shrewsbury	1	14	2	Shropshire	2016-04-21	18	2017-10-01		
4112	Blacklidge Bros	3	14	1	Lancashire	2016-12-21	12	2017-12-01		
4112	Blacklidge Bros	1	14	1	Lancashire	2016-12-21	12	2017-12-01		
4113	Noel Chadwick Limited	3	14	2	Greater Manchester	2016-03-03	18	2017-09-01		
4113	Noel Chadwick Limited	1	14	2	Greater Manchester	2016-03-03	18	2017-09-01		
4126	Weddel Swift Distribution Ltd	1	14	2	Leicestershire	2016-04-14	24	2018-04-01		
4132	Allison Butchers	1	14	2	West Midlands	2016-02-02	24	2018-02-01		
4133	Farmers Fresh Limited	3	14	1	Warwickshire	2017-03-23	12	2018-03-01		
4133	Farmers Fresh Limited	1	14	1	Warwickshire	2017-03-23	12	2018-03-01		
4140	G & G B Hewitt Ltd	3	14	1	Cheshire	2016-11-21	12	2017-11-01		
4140	G & G B Hewitt Ltd	1	14	1	Cheshire	2016-11-21	12	2017-11-01		
4152	Beesons Limited	3	14	2	Cheshire	2017-05-16	36	2020-05-01		
4152	Beesons Limited	1	14	2	Cheshire	2017-05-16	36	2020-05-01		
4153	Worcester Wholesale Meat Co. Limited	1	14	1		2017-03-07	12	2018-03-01		
4156	C H Rowley Limited	3	14	1	West Midlands	2017-08-14	12	2018-08-01		
4156	C H Rowley Limited	1	14	1	West Midlands	2017-08-14	12	2018-08-01		
4161	Mipa Meats Ltd	1	14	1	West Midlands	2017-08-10	12	2018-08-01		
4163	Arthur J Granby & Sons (Liverpool) Ltd	1	14	2	Merseyside	2016-07-13	24	2018-07-01		
4168	R B Elliott & Son Ltd	3	14	2	Derbyshire	2016-06-08	18	2017-12-01		
4168	R B Elliott & Son Ltd	1	14	2	Derbyshire	2016-06-08	18	2017-12-01		
4171	A E Poxon And Son Ltd	1	14	2	West Midlands	2016-11-17	24	2018-11-01		
4175	Tulip Fresh Meats (Tipton)	1	14	2	West Midlands	2016-11-14	24	2018-11-01		
4182	Janan Meat Limited	3	14	1	West Midlands	2017-01-31	12	2018-01-01		
4182	Janan Meat Limited	1	14	1	West Midlands	2017-01-31	12	2018-01-01		
4183	Tts Meats	1	14	1	Cheshire	2017-06-20	12	2018-06-01		
4195	W Barton & Sons Limited	1	14	2	Merseyside	2016-01-19	24	2018-01-01		
4199	Bates Wholesale Butchers	3	14	1	West Midlands	2017-02-28	12	2018-02-01		
4199	Bates Wholesale Butchers	1	14	1	West Midlands	2017-02-28	12	2018-02-01		
4207-0006	Ted Collins (Meats) Limited	1	14	2	West Midlands	2017-04-28	12	2018-04-01		
4207-0028	Jaswant Singh - Joginder Kaur (T/A Kmc Food Group)	1	14	1	West Midlands	2016-10-12	12	2017-10-01		
4236	Long Compton Abattoir Limited	3	14	1	Warwickshire	2017-02-28	12	2018-02-01		
4236	Long Compton Abattoir Limited	1	14	1	Warwickshire	2017-02-28	12	2018-02-01		
4241	Cleaver Meats Ltd	1	14	2	Derbyshire	2016-01-12	24	2018-01-01		
4246	Neil Powell Catering	1	14	1	Herefordshire	2017-02-23	12	2018-02-01		
4256	H.P. Westwood Limited	3	14	1	Staffordshire	2017-05-05	12	2018-05-01		
4256	H.P. Westwood Limited	1	14	1	Staffordshire	2017-05-05	12	2018-05-01		
4260	Eardington Wholesale Meats Ltd	1	14	2	Shropshire	2016-05-23	24	2018-05-01		
4261	Edge And Son	3	14	1	Merseyside	2017-06-27	12	2018-06-01		
4261	Edge And Son	1	14	1	Merseyside	2017-06-27	12	2018-06-01		
4265	Fairfax Meadow Farm Ltd	1	14	2	Derbyshire	2016-09-30	24	2018-09-01		
4267	Garbetts Meat Wholesalers	1	14	2	West Midlands	2016-06-28	24	2018-06-01		
4269	J & B Fitton Ltd	3	14	2	Greater Manchester	2017-05-17	36	2020-05-01		
4269	J & B Fitton Ltd	1	14	2	Greater Manchester	2017-05-17	36	2020-05-01		
4276	A J Green & Sons	3	14	1	Staffordshire	2017-02-22	12	2018-02-01		
4276	A J Green & Sons	1	14	1	Staffordshire	2017-02-22	12	2018-02-01		
4286	Lawn Farm Meats	3	14	1	Staffordshire	2016-09-14	12	2017-09-01		
4286	Lawn Farm Meats	1	14	1	Staffordshire	2016-09-14	12	2017-09-01		
4294	E & T Jackson & Sons	3	14	1	Cheshire	2017-04-24	12	2018-04-01		
4294	E & T Jackson & Sons	1	14	1	Cheshire	2017-04-24	12	2018-04-01		
4302	Lancaster Meat Company (Nw) Ltd	1	14	1	Lancashire	2017-05-04	12	2018-05-01		
4303	James Law Limited	3	14	2	Lancashire	2017-03-21	18	2018-09-01		
4303	James Law Limited	1	14	2	Lancashire	2017-03-21	18	2018-09-01		
4308	Liverpool Meat And Fish Market	1	14	2	Merseyside	2016-08-03	24	2018-08-01		
4308-0027	T. & K. Meats Limited	1	14	2	Merseyside	2017-08-08	24	2019-08-01		
4308-0036	Bexleys Limited	1	14	1	Merseyside	2016-12-08	12	2017-12-01		
4308-0123	John Hassett (Meats ) Limited	1	14	1	Merseyside	2017-07-11	12	2018-07-01		
4313	Mainstream International Foods Ltd	1	14	1	Derbyshire	2017-01-25	12	2018-01-01		
4322	J W Mettrick & Son Ltd	3	14	2	Derbyshire	2016-06-29	18	2017-12-01		
4322	J W Mettrick & Son Ltd	1	14	2	Derbyshire	2016-06-29	18	2017-12-01		
4326	C.S. Morphet And Sons Limited	3	14	1	Merseyside	2017-05-08	12	2018-05-01		
4326	C.S. Morphet And Sons Limited	1	14	1	Merseyside	2017-05-08	12	2018-05-01		
4331	W Nixon And Sons Limited	3	14	1	Cheshire	2017-05-25	12	2018-05-01		
4331	W Nixon And Sons Limited	1	14	1	Cheshire	2017-05-25	12	2018-05-01		
4333	University Of Nottingham	3	14	2	Leicestershire	2017-02-14	36	2020-02-01		
4333	University Of Nottingham	1	14	2	Leicestershire	2017-02-14	36	2020-02-01		
4349	Perrys Of Eccleshall Limited	3	14	1	Staffordshire	2017-08-14	12	2018-08-01		
4349	Perrys Of Eccleshall Limited	1	14	1	Staffordshire	2017-08-14	12	2018-08-01		
4353	Pughs Piglets	1	14	2	Lancashire	2016-05-03	24	2018-05-01		
4356	R. And J. Wholesale Meat Company Limited	1	14	2	Nottinghamshire	2016-04-20	24	2018-04-01		
4357	F Redfern	3	14	2	Derbyshire	2016-04-12	18	2017-10-01		
4357	F Redfern	1	14	2	Derbyshire	2016-04-12	18	2017-10-01		
4367	T G Sargeant And Sons	3	14	2	Staffordshire	2017-06-02	18	2018-12-01		
4367	T G Sargeant And Sons	1	14	2	Staffordshire	2017-06-02	18	2018-12-01		
4373	Staffordshire Meat Packers Ltd	3	14	3	Staffordshire	2017-07-31	3	2017-10-01		
4373	Staffordshire Meat Packers Ltd	1	14	3	Staffordshire	2017-07-31	3	2017-10-01		
4379	Higginshaw Abattoir Limited	3	14	1	Greater Manchester	2017-05-10	12	2018-05-01		
4379	Higginshaw Abattoir Limited	1	14	1	Greater Manchester	2017-05-10	12	2018-05-01		
4381	William Taylor & Son (Pig Salesmen) Limited	3	14	1	Lancashire	2017-01-17	12	2018-01-01		
4381	William Taylor & Son (Pig Salesmen) Limited	1	14	1	Lancashire	2017-01-17	12	2018-01-01		
4382	Tenderoak Meats Limited	1	14	1	Greater Manchester	2017-02-27	12	2018-02-01		
4390	Westgate Frozen Foods Ltd	1	14	2	Lancashire	2017-02-06	12	2018-02-01		
4392	Robert G Tuckey Ltd	3	14	1	West Midlands	2017-06-21	12	2018-06-01		
4392	Robert G Tuckey Ltd	1	14	1	West Midlands	2017-06-21	12	2018-06-01		
